Word,Count,Reading,JLPT Level,Meaning
力,1,チカラ,jlpt-n4,force
兩足,1,*,unknown,unknown
働き,1,ハタラキ,jlpt-n3,work
ら,1,ラ,unknown,pluralizing suffix
心もち,1,ココロモチ,unknown,feeling
離す,1,ハナス,jlpt-n3,to separate
片づける,1,カタヅケル,jlpt-n4,to tidy up
知る,1,シル,jlpt-n5,to know
問題,1,モンダイ,jlpt-n5,question (e.g. on a test)
洞,1,ホラ,unknown,hollow
歩,1,フ,jlpt-n1,walking
覗き,1,ノゾキ,unknown,peep
づつ,1,*,unknown,apiece
わき,1,ワキ,jlpt-n3,armpit
きはじめる,1,キハジメル,unknown,to come for the first time
くい,1,クイ,unknown,regret
底,1,ソコ,jlpt-n3,bottom
下りる,1,オリル,jlpt-n4,to descend (e.g. a mountain)
身の毛,1,ミノケ,unknown,body hair
とる,1,トル,jlpt-n5,to take
虱,1,シラミ,unknown,louse (esp. a sucking louse)
太る,1,フトル,jlpt-n4,to put on weight
倒れる,1,タオレル,jlpt-n4,"to fall (over, down)"
親,1,オヤ,jlpt-n4,parent
感じる,1,カンジル,jlpt-n3,to feel
首,1,クビ,jlpt-n4,neck
起す,1,オコス,jlpt-n4,to raise
倒,1,*,jlpt-n2,inverted
うめく,1,ウメク,unknown,to moan
立てる,1,タテル,jlpt-n4,to stand up
消える,1,キエル,jlpt-n5,to disappear
僅,1,*,jlpt-n3,a little
襟,1,エリ,jlpt-n1,collar
蹴倒す,1,ケタオス,unknown,to kick over
持出す,1,モチダス,unknown,to take out
板の間,1,イタノマ,unknown,wooden floor
引剥,1,*,unknown,to tear off
暫時,1,ザンジ,unknown,short while
呼吸,1,コキュウ,jlpt-n3,breathing
誰か,1,ダレ,jlpt-n3,someone
増す,1,マス,jlpt-n3,to increase
恨む,1,ウラム,jlpt-n2,to bear a grudge against
すばやい,1,スバヤイ,jlpt-n1,quick
毎,1,マイ,unknown,"every (usu. with events, e.g. every weekend)"
記者,1,キシャ,jlpt-n3,reporter
語,1,カタリ,jlpt-n3,word
黒,1,クロ,jlpt-n5,black
反感,1,ハンカン,jlpt-n1,antipathy
借りる,1,カリル,jlpt-n5,to borrow
寧,1,ヤスシ,jlpt-n3,rather
弩,1,イシユミ,unknown,crossbow (incl. large models operated by a number of people)
しがみつく,1,シガミツク,unknown,to cling
手荒い,1,テアライ,unknown,violent
語弊,1,ゴヘイ,unknown,faulty statement
耳,1,ミミ,jlpt-n5,ear
冷然,1,レイゼン,unknown,cold (attitude)
役人,1,ヤクニン,jlpt-n2,government official
冷,1,ヒヤ,unknown,cold water
檢非違,1,*,unknown,illegality
侮蔑,1,ブベツ,unknown,scorn
氣色,1,*,unknown,unknown
柔,1,ヤワラ,unknown,softness
先方,1,センポウ,unknown,other party
通じる,1,ツウジル,jlpt-n3,to be open (to traffic)
片手,1,カタテ,unknown,one hand
見下す,1,ミクダス,unknown,to look down (on)
得意,1,トクイ,jlpt-n3,satisfaction
安らか,1,ヤスラカ,unknown,peaceful
成就,1,ジョウジュ,unknown,fulfillment
蟇,1,ヒキガエル,unknown,"toad (esp. the Japanese toad, Bufo japonicus)"
仕事,1,シゴト,jlpt-n5,work
殘,1,*,unknown,unknown
冷ます,1,サマス,jlpt-n2,to cool (e.g. from a high temperature to room temperature)
口ごもる,1,クチゴモル,unknown,to hesitate to say
支配,1,シハイ,jlpt-n3,rule
成,1,シゲル,jlpt-n3,to become
多く,1,オオク,unknown,many
意志,1,イシ,jlpt-n3,will
生死,1,セイシ,jlpt-n1,life and death
明白,1,メイハク,unknown,obvious
廳,1,*,unknown,unknown
今し方,1,イマシガタ,unknown,a moment ago
始める,1,ハジメル,jlpt-n4,to start
